tol,set_number,country,wind objective,solar objective,combined objective,ratio
0.05000,5,CZ,-0.00000,5.00485,9.73198,1.94451
0.05000,5,DE,-0.00000,534.05929,963.29860,1.80373
0.05000,5,DK,-0.00000,10.09752,39.32969,3.89499
0.05000,5,EE,-0.00000,0.02174,0.05398,2.48261
0.05000,5,EL,-0.00000,98.05354,124.32616,1.26794
0.05000,5,ES,-0.00000,463.43980,673.72695,1.45375
0.05000,5,FI,-0.00000,0.01198,0.08658,7.22709
0.05000,5,FR,-0.00000,201.78115,359.47239,1.78150
0.05000,5,HR,-0.00000,0.17243,0.82551,4.78765
0.05000,5,HU,-0.00000,0.35354,0.87376,2.47145
0.05000,5,IE,0.00466,0.01605,0.04225,2.04013
0.05000,5,IT,-0.00000,580.52991,726.13956,1.25082
0.05000,5,LT,-0.00000,0.13867,0.78405,5.65393
0.05000,5,LU,-0.00000,0.38787,0.72107,1.85903
0.05000,5,LV,0.00947,0.01724,0.03292,1.23273
0.05000,5,NL,-0.00000,10.59542,29.89736,2.82172
0.05000,5,NO,4.12797,0.09531,4.77974,1.13176
0.05000,5,PL,-0.00000,0.28827,2.00843,6.96713
0.05000,5,PT,-0.00000,35.16315,48.45350,1.37796
0.05000,5,RO,-0.00000,2.72542,7.36936,2.70393
0.05000,5,SE,-0.00000,0.61306,1.64511,2.68344
0.05000,5,SI,0.03364,0.66960,0.70040,0.99598
0.05000,5,SK,0.01725,5.89041,5.96348,1.00945
0.05000,5,UK,-0.00000,163.35426,323.14831,1.97821
0.05000,6,AT,-0.00000,3.50486,11.32428,3.23103
0.05000,6,BE,-0.00000,11.95817,58.22910,4.86940
0.05000,6,BG,-0.00000,7.04662,14.82334,2.10361
0.05000,6,CH,-0.00000,3.60052,4.98583,1.38475
0.05000,6,CZ,-0.00000,5.66970,7.36569,1.29913
0.05000,6,DE,-0.00000,453.62870,739.58616,1.63038
0.05000,6,DK,-0.00000,12.91711,30.19314,2.33745
0.05000,6,EE,-0.00000,0.01561,0.09394,6.01895
0.05000,6,EL,-0.00000,103.46643,139.02572,1.34368
0.05000,6,ES,-0.00000,468.84940,617.84721,1.31779
0.05000,6,FI,-0.00000,0.01323,0.12962,9.79542
0.05000,6,FR,-0.00000,202.89272,363.96882,1.79390
0.05000,6,HR,-0.00000,0.13501,0.70625,5.23126
0.05000,6,HU,-0.00000,0.41986,1.18521,2.82284
0.05000,6,IE,-0.00000,0.01188,0.04179,3.51669
0.05000,6,IT,-0.00000,491.81828,658.23325,1.33837
0.05000,6,LT,-0.00000,0.06720,1.00629,14.97448
0.05000,6,LU,-0.00000,0.25255,0.74575,2.95281
0.05000,6,LV,-0.00000,0.02932,0.03378,1.15224
0.05000,6,NL,-0.00000,13.57690,40.43987,2.97858
0.05000,6,NO,9.69183,0.10856,10.31020,1.05202
0.05000,6,PL,-0.00000,0.27410,3.05160,11.13298
0.05000,6,PT,-0.00000,32.13434,48.07567,1.49608
0.05000,6,RO,-0.00000,3.85856,12.31395,3.19133
0.05000,6,SE,0.35472,0.62152,4.66916,4.78279
