tol,day,country,n_sets,mean_ratio,ci_lower,ci_upper,ratio_1000,extreme_1000,within_ci,rel_dev_pct
0.1000,301,UK,10,2.2786,1.9650,2.5923,2.4270,False,True,6.5128
0.1000,332,AT,10,2.8871,2.5125,3.2618,3.4153,False,False,18.2952
0.1000,332,BE,10,3.6952,3.3694,4.0210,0.0000,False,False,-100.0000
0.1000,332,BG,10,1.8878,1.7412,2.0343,2.0226,False,True,7.1406
0.1000,332,CH,10,1.1179,1.0894,1.1463,1.0817,False,False,-3.2382
0.1000,332,CZ,10,1.6646,1.5018,1.8275,0.0000,False,False,-100.0000
0.1000,332,DE,10,2.9982,2.6450,3.3514,3.3472,False,True,11.6403
0.1000,332,DK,10,4.0384,3.0487,5.0281,5.1937,False,False,28.6079
0.1000,332,EE,10,2.3356,0.9974,3.6738,18.0228,False,False,671.6561
0.1000,332,EL,10,1.3605,1.2898,1.4313,1.3536,False,True,-0.5072
0.1000,332,ES,10,1.4764,1.4051,1.5477,1.4419,False,True,-2.3368
0.1000,332,FI,10,2.0728,0.0065,4.1391,1.7439,False,True,-15.8674
0.1000,332,FR,10,1.7476,1.6176,1.8776,1.6522,False,True,-5.4589
0.1000,332,HR,10,2.9875,2.4821,3.4929,3.3456,False,True,11.9866
0.1000,332,HU,10,2.4136,2.1936,2.6335,2.3875,False,True,-1.0814
0.1000,332,IE,10,0.9919,0.9838,1.0000,0.0000,False,False,-100.0000
0.1000,332,IT,10,1.4475,1.3828,1.5122,1.4344,False,True,-0.9050
0.1000,332,LT,10,6.5909,5.3119,7.8698,6.9605,False,True,5.6077
0.1000,332,LU,10,2.5789,2.1709,2.9868,2.2601,False,True,-12.3619
0.1000,332,LV,10,1.9185,1.2592,2.5779,0.0000,False,False,-100.0000
0.1000,332,NL,10,5.2446,2.7139,7.7753,7.2746,False,True,38.7065
0.1000,332,NO,10,1.0091,1.0056,1.0126,1.0103,False,True,0.1189
0.1000,332,PL,10,4.8605,4.3287,5.3924,0.0000,False,False,-100.0000
0.1000,332,PT,10,1.6006,1.5033,1.6980,1.6773,False,True,4.7920
0.1000,332,RO,10,2.1527,1.9800,2.3255,2.2982,False,True,6.7590
0.1000,332,SE,10,4.5008,2.0823,6.9194,7.9011,False,False,75.5488
0.1000,332,SI,10,1.0242,1.0043,1.0442,1.0277,False,True,0.3417
0.1000,332,SK,10,1.0005,0.9964,1.0045,1.0068,False,False,0.6297
0.1000,332,UK,10,2.4467,1.5762,3.3172,3.7655,False,False,53.9012
0.1000,362,AT,10,2.6014,2.4713,2.7314,2.7061,False,True,4.0248
0.1000,362,BE,10,1.4559,1.2868,1.6249,1.5483,False,True,6.3466
0.1000,362,BG,10,1.6133,1.5099,1.7167,1.7616,False,False,9.1923
0.1000,362,CH,10,1.1406,1.1154,1.1657,1.1608,False,True,1.7710
0.1000,362,CZ,10,1.6810,1.5119,1.8501,2.1851,False,False,29.9881
0.1000,362,DE,10,1.9902,1.6368,2.3436,3.2117,False,False,61.3757
