country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
HR,0.05000,332,10,3.30316,2.78282,3.97975,1.19694,0.00000,0.33035,1.09119,False
HR,0.05000,362,10,2.99984,2.55022,3.52277,0.97256,0.00000,0.34167,1.02494,False
HR,0.10000,271,10,3.66623,3.33137,4.14612,0.81475,0.00464,0.26239,0.97897,False
HR,0.10000,301,10,3.67251,3.24829,4.17381,0.92552,0.00207,0.44479,1.64108,False
HR,0.10000,332,10,2.92362,2.57046,3.36000,0.78955,0.01262,0.51338,1.53784,False
HR,0.10000,362,10,2.70942,2.35387,3.15152,0.79765,0.00235,0.51004,1.38827,False
HU,0.01000,271,10,3.65505,2.98203,4.41368,1.43166,0.00000,0.16480,0.60234,False
HU,0.01000,301,10,3.66973,3.03518,4.65223,1.61705,0.00000,0.26371,0.96774,False
HU,0.01000,332,10,2.94917,2.56477,3.42624,0.86147,0.00000,0.27456,0.80971,False
HU,0.01000,362,10,8.16853,5.40458,17.08254,11.67796,0.00000,0.03366,0.27492,False
HU,0.05000,271,10,2.80486,2.50624,3.12178,0.61554,0.00271,0.31439,0.88944,False
HU,0.05000,301,10,3.08382,2.76991,3.54874,0.77883,0.00298,0.43053,1.33687,False
HU,0.05000,332,10,2.53054,2.31861,2.74223,0.42362,0.00000,0.44616,1.12901,False
HU,0.05000,362,10,3.83176,3.49546,4.20554,0.71009,0.00015,0.13070,0.50140,False
HU,0.10000,271,10,2.56570,2.32463,2.83964,0.51500,0.00403,0.44824,1.16037,False
HU,0.10000,301,10,2.66192,2.51437,2.81981,0.30544,0.07686,0.56679,1.71335,False
HU,0.10000,332,10,2.39632,2.22437,2.56344,0.33907,0.01893,0.57946,1.43393,False
HU,0.10000,362,10,3.28828,3.09207,3.53611,0.44404,0.00260,0.21973,0.73109,False
IE,0.01000,271,10,37.56364,19.66785,104.87697,85.20913,0.00000,0.00033,0.01240,True
IE,0.01000,301,10,38.11972,23.28743,95.03872,71.75129,0.00000,0.00028,0.01083,True
IE,0.01000,332,10,,,,,0.00000,0.00000,0.00017,True
IE,0.01000,362,10,1.00080,1.00035,1.00274,0.00238,21.48569,0.00000,21.50289,False
IE,0.05000,271,10,1.09359,1.02813,3.23527,2.20715,0.24452,0.01634,0.28528,False
IE,0.05000,301,10,1.97874,1.54378,2.53291,0.98913,0.00000,0.02103,0.04161,False
IE,0.05000,332,10,4.04308,2.88301,6.33704,3.45403,0.00000,0.00615,0.02487,False
IE,0.05000,362,10,1.00014,1.00009,1.00024,0.00016,92.56883,0.00581,92.58781,False
IE,0.10000,271,10,0.99898,0.99015,1.00134,0.01119,3.89079,0.02709,3.91388,False
IE,0.10000,301,10,1.00247,0.99651,1.03100,0.03449,2.36005,0.03028,2.39622,False
IE,0.10000,332,10,0.99944,0.99652,1.00032,0.00380,5.92817,0.00996,5.93483,False
IE,0.10000,362,10,1.00006,1.00003,1.00010,0.00007,166.66917,0.00841,166.68742,False
IT,0.01000,271,10,1.29892,1.23855,1.36122,0.12268,0.00000,424.73946,551.70286,False
IT,0.01000,301,10,1.49152,1.41232,1.60287,0.19056,0.00000,366.42031,546.52318,False
IT,0.01000,332,10,1.53108,1.41274,1.65505,0.24232,0.00000,215.50837,329.95960,False
IT,0.01000,362,10,1.21629,1.17407,1.26717,0.09310,0.00000,477.60246,580.90127,False
IT,0.05000,271,10,1.26885,1.23801,1.30033,0.06231,0.00053,511.54200,649.07142,False
IT,0.05000,301,10,1.37434,1.32600,1.42645,0.10046,0.00000,466.36045,640.93598,False
IT,0.05000,332,10,1.46321,1.40813,1.52108,0.11295,0.00000,286.96831,419.89530,False
IT,0.05000,362,10,1.17255,1.14283,1.19904,0.05621,0.00000,578.28681,678.07204,False
IT,0.10000,271,10,1.25668,1.23494,1.27992,0.04499,0.66866,576.63879,725.49278,False
IT,0.10000,301,10,1.34777,1.31753,1.38344,0.06591,0.63881,534.96930,721.87794,False
IT,0.10000,332,10,1.44587,1.39182,1.49894,0.10712,0.39099,343.38819,497.06156,False
IT,0.10000,362,10,1.17499,1.14849,1.20092,0.05244,0.00000,639.91807,751.89777,False
LT,0.01000,271,10,,,,,0.00000,0.00000,0.34780,True
LT,0.01000,301,10,58.56160,31.45667,201.21102,169.75435,0.00000,0.00850,0.49772,True
LT,0.01000,332,10,27.62586,12.57051,91.67243,79.10192,0.00000,0.01860,0.51384,True
LT,0.01000,362,10,14.95312,5.62293,17.99243,12.36950,0.03931,0.00000,0.58781,False
LT,0.05000,271,10,14.49163,9.16463,27.42592,18.26129,0.00009,0.05552,0.80592,False
LT,0.05000,301,10,8.55689,6.82414,11.24328,4.41914,0.00325,0.11174,0.98399,False
LT,0.05000,332,10,9.72449,7.47793,12.56685,5.08893,0.00000,0.11791,1.14663,False
LT,0.05000,362,10,2.08342,1.57341,7.97357,6.40016,0.97691,0.01276,2.06191,False
LT,0.10000,271,10,7.41225,6.26628,8.87913,2.61284,0.01010,0.16826,1.32206,False
LT,0.10000,301,10,6.81678,5.86504,7.85366,1.98862,0.00707,0.22343,1.57128,False
LT,0.10000,332,10,6.01323,5.08191,7.46419,2.38228,0.07802,0.23410,1.87680,False
LT,0.10000,362,10,1.27076,1.17623,1.64866,0.47243,4.69015,0.10631,6.09516,False
LU,0.01000,271,10,3.10878,2.56344,4.12426,1.56082,0.00000,0.08732,0.27144,False
LU,0.01000,301,10,53.57698,27.30581,324.02403,296.71822,0.00000,0.00574,0.30764,True
LU,0.01000,332,10,17.32575,6.81953,178.54671,171.72718,0.00000,0.01573,0.27259,False
LU,0.01000,362,10,,,,,0.00000,0.00000,0.27827,True
LU,0.05000,271,10,2.34119,2.01883,2.70014,0.68131,0.00000,0.28879,0.67610,False
LU,0.05000,301,10,2.78425,2.47023,3.22340,0.75316,0.00211,0.23458,0.65901,False
LU,0.05000,332,10,3.52937,2.94440,4.43831,1.49391,0.00037,0.19901,0.70368,False
LU,0.05000,362,10,3.53804,2.60878,5.11279,2.50401,0.00612,0.19377,0.70721,False
